Grid_ID,Latitude,Longitude
1318_7766,13.182587,77.661895
1318_7767,13.18483275,77.6728815
1319_7759,13.196358,77.5959995
1319_7760,13.197984,77.6071365
1319_7761,13.19230383,77.61753015
1319_7762,13.1705,77.6329
1320_7760,13.209609,77.607684
1320_7762,13.201711,77.62408
1320_7763,13.20439,77.634748
1301_7766,13.1539,77.6212
1307_7761,13.07288053,77.6171167
1311_7750,13.11959719,77.50842077
1313_7759,13.139379,77.590013
1313_7761,13.1366565,77.6177487
1315_7762,13.155729,77.62285189
1317_7763,13.17290543,77.63477369
1318_7764,13.18448354,77.643524
1319_7764,13.1537,77.6208
1320_7764,13.204735,77.646442
1216_7757,12.9648,77.5734
1368_7685,12.9694,77.5834
1285_7752,12.9608,77.5736
1291_7763,12.9628,77.5738
1292_7763,12.9608,77.5736
1294_7757,12.94443688,77.57430463
1295_7758,12.95464146,77.58567797
1760_1298,12.9827,77.6085
3398_5636,12.9796,77.5904
675_7752,12.9848,77.6088
7758_1281,12.9793,77.6033
7760_1298,12.9848,77.6088
7761_1298,12.9638,77.5876
7761_1299,12.9638,77.5876
7798_1260,12.9628,77.5738
1296_6411,12.9711,77.575
1325_7647,13.258842,76.478986
200_6411,13.0208,77.6162
2620_6411,12.9713,77.5753
7721_1225,12.9596,77.6128
7733_1257,13.0208,77.6162
7733_1258,13.0208,77.6162
7734_1257,12.9765,77.6014
7734_1258,12.9792,77.5731
7756_1296,12.9596,77.6128
7757_1297,12.9734,77.5715
7777_1257,12.9596,77.6128
7777_1296,12.9765,77.6014
1209_6817,12.9719,77.5929
1209_7703,13.0042,77.5929
1259_7703,12.9763,77.5929
1997_7760,12.9756,77.6068
4330_4756,12.9748,77.6094
7759_1297,12.9738,77.5906
7759_1298,12.9877,77.5945
7759_7735,12.9719,77.6017
7760_1297,12.9731,77.6074
7850_1354,12.9719,77.6017
1297_7759,12.9771097,77.59805204
1194_7866,12.9716,77.5946
675_9741,12.9716,77.5946
698_7059,12.9716,77.5946
1314_7742,13.1444,77.4245
1314_7743,13.143328,77.4315815
1318_7786,13.184327,77.862041
1320_7756,13.200853,77.561495
1321_7773,13.2133395,77.73587
1321_7774,13.213738,77.740529
1322_7773,13.22653567,77.735962
1323_7769,13.2446,77.7117
1323_7770,13.2449,77.7115
1323_7772,13.2144,77.7114
1324_7767,13.24664,77.677831
1324_7769,13.245206,77.697434
1325_7772,13.252896,77.724788
1325_7773,13.2421,77.7118
2477_6614,13.2438,77.711
7741_1315,12.9588,77.5745
1301_7761,12.9175,77.6105
7768_1322,12.9638,77.5739
7770_1324,12.9638,77.5739
7771_1324,12.9175,77.6105
7771_1325,12.9175,77.6105
7774_1322,12.9175,77.6105
1305_7738,13.055511,77.385609
1305_7767,13.0535393,77.67584716
1306_7767,13.064906,77.6737716
1307_7763,13.07435721,77.63327106
1307_7765,13.07366573,77.65243195
1313_7740,13.131672,77.405597
1313_7768,13.132692,77.686282
1319_7765,13.197796,77.6560758
1319_7766,13.19522967,77.66897433
1319_7769,13.197924,77.690307
